longer:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
sound:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
remember:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
view:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
led:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
low:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
fair:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
although:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
knowledge:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
pay:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
receive:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
blood:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
comme:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
army:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
doing:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
dem:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
sun:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
road:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ety:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
avait:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ses:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
701:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
-:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
husband:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
charge:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
certainly:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
important:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
literary:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
service:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
red:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
to:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
probably:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
future:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
placed:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
especially:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
desire:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
elle:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
send:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
london:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
la:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
big:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
letters:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
hair:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
lived:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
fld:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
glad:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
het:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
an:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
history:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
died:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
tout:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
an':	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ist:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
als:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
length:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
latter:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
yet:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
persons:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
gold:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
paper:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
mark:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
information:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
bear:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
according:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
wind:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
per:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ebooks:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
chief:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
strength:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
gentleman:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
mine:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
object:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
us:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
unless:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
duty:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
single:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
distance:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
900:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
deal:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
man:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
foot:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
beauty:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
heavy:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ein:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
standing:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
thinking:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
loved:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
captain:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
try:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
sweet:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
madame:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
yourself:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
write:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
regard:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
filled:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
won't:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
you:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
our:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
former:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
learned:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
arm:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
giving:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
happened:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
man's:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
see:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
instead:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
condition:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
twenty:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
work:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
window:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
where:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
below:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
wrong:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
months:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
day:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
outside:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
getting:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
caught:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
while:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
lips:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
figure:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ago:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
reach:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
easily:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ancient:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
blue:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
agree:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
showed:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
and:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
easy:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ship:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
stay:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
901:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
hat:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
property:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
fit:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
enemy:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
states:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
afterwards:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
impossible:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
state:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
worth:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
arrived:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
occasion:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
remain:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
green:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
married:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
mouth:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
faith:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
writing:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
horses:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
blockquote:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
charles:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
covered:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
bound:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
respect:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
quiet:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
beside:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
dinner:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
expression:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
william:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
mary:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
etext:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
german:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
perfect:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
youth:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
come:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
cost:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
etc:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
scarcely:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
sudden:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
evil:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
main:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
battle:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
wished:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
political:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
c:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
started:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
considered:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
expected:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
result:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
their:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
school:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
1100:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
language:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
that's:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
los:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
south:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
food:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
week:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
world:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
such:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
opportunity:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
copies:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
value:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
support:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
fight:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
experience:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
himself:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
reading:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
begin:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
so:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
circumstances:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
domain:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
personal:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
access:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
speaking:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
learn:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
lines:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
offered:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
sitting:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
efforts:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
society:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
boat:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
date:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
up:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
believed:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
tree:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
officers:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
month:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
laughed:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
girls:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
determined:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
even:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
appears:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
step:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
direction:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
gives:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
terrible:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
silent:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
produce:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
scene:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
likely:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
1101:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
fifty:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
fast:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
troops:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
field:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
authority:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
bit:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
chair:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
for:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
eyes:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
summer:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
dat:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
afternoon:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
allow:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
declared:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
music:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
soldiers:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
picture:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
fixed:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
here:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
race:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
west:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
perhaps:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
l:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
tom:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
houses:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
spent:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
trust:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
north:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
threw:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
physical:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
forget:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
instant:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
father's:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
middle:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
success:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
built:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
lord:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
using:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
obliged:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
fortune:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
1300:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
spite:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
moral:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
closed:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
running:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
rise:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
rate:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
father:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
changed:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
corner:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
james:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
steps:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
orders:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
island:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
spring:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
et:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
pain:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
instance:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
will:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
happiness:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
conduct:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
lead:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
non:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
lying:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
queen:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
other:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
cases:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
al:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
warm:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
degree:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
he's:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
memory:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
promise:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
wie:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
situation:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
deux:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
greek:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
rome:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ma:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
proved:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
était:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
passion:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
leur:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
courage:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
mighty:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
fallen:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
more:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
concerning:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
1301:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
1400:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
mr:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
board:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
serious:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
spread:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
ways:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
spot:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
wonderful:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
questions:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
camp:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
move:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
america:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
tax:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
consider:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
car:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
distribution:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
share:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
engaged:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
class:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
start:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
shook:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
train:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
minute:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
just:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
europe:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
are:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
enter:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
isn't:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
particularly:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
greatly:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
method:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
finally:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
curious:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
have:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
prove:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
described:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
old:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
no:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
existence:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
refund:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
affairs:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
safe:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
working:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
doctor:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
extent:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
narrow:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
pride:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
room:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
repeated:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
place:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
did:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
1500:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
dog:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
gentlemen:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
nor:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
marry:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
knowing:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
dollars:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
page:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
accept:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
shore:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
trademark:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
officer:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
attack:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
thou:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
possessed:	 doc1.txt, doc2.txt, doc3.txt, doc4.txt
